matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
loftr,face,Multi-PIE_genuine_0,056,056,0,0,0,0,,False,,True,False,
orb-fingervein,face,Multi-PIE_genuine_0,056,056,4927,1188,113,0,,False,,True,False,
sift-fingervein,face,Multi-PIE_genuine_0,056,056,1274,375,34,0,,False,,True,False,
superglue-fingervein,face,Multi-PIE_genuine_0,056,056,1023,616,0,0,,False,,True,False,
sgmnet-fingervein,face,Multi-PIE_genuine_0,056,056,2000,2000,80,7,0.0875,False,0.0838,True,False,0.9959
aspanformer,face,Multi-PIE_genuine_0,056,056,26,26,26,11,0.4231,True,0.4112,True,True,1.8063
deepdetect,face,Multi-PIE_genuine_0,056,056,14608,14766,9,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_1,013,013,3,3,0,0,,False,,True,False,
orb-fingervein,face,Multi-PIE_genuine_1,013,013,3530,3852,45,0,,False,,True,False,
sift-fingervein,face,Multi-PIE_genuine_1,013,013,499,767,15,0,,False,,True,False,
superglue-fingervein,face,Multi-PIE_genuine_1,013,013,554,769,2,0,,False,,True,False,
sgmnet-fingervein,face,Multi-PIE_genuine_1,013,013,2000,2000,70,8,0.1143,False,0.1107,True,False,0.8615
aspanformer,face,Multi-PIE_genuine_1,013,013,4,4,4,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_1,013,013,9265,14190,13,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_2,137,137,63,63,63,11,0.1746,False,0.1714,True,False,1.6139
orb-fingervein,face,Multi-PIE_genuine_2,137,137,2637,2939,33,0,,False,,True,False,
sift-fingervein,face,Multi-PIE_genuine_2,137,137,288,559,18,0,,False,,True,False,
superglue-fingervein,face,Multi-PIE_genuine_2,137,137,505,705,149,22,0.1477,False,0.1455,True,False,1.7901
sgmnet-fingervein,face,Multi-PIE_genuine_2,137,137,2000,2000,116,7,0.0603,False,0.0578,True,False,0.2096
aspanformer,face,Multi-PIE_genuine_2,137,137,268,268,268,168,0.6269,True,0.6069,True,True,2.1469
deepdetect,face,Multi-PIE_genuine_2,137,137,9374,16702,22,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_3,122,122,7,7,0,0,,False,,True,False,
orb-fingervein,face,Multi-PIE_genuine_3,122,122,3740,2425,60,0,,False,,True,False,
sift-fingervein,face,Multi-PIE_genuine_3,122,122,465,430,12,0,,False,,True,False,
superglue-fingervein,face,Multi-PIE_genuine_3,122,122,596,651,78,17,0.2179,True,0.2081,True,True,2.3912
sgmnet-fingervein,face,Multi-PIE_genuine_3,122,122,2000,2000,68,6,0.0882,False,0.0835,True,False,0.7210
aspanformer,face,Multi-PIE_genuine_3,122,122,3,3,3,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_3,122,122,10756,15102,2,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_4,112,112,38,38,38,9,0.2368,False,0.2223,True,False,2.2839
orb-fingervein,face,Multi-PIE_genuine_4,112,112,2416,5000,16,6,0.3750,False,0.3548,True,False,1.1624
sift-fingervein,face,Multi-PIE_genuine_4,112,112,393,1215,11,0,,False,,True,False,
superglue-fingervein,face,Multi-PIE_genuine_4,112,112,563,1153,230,53,0.2304,True,0.2145,True,True,2.9296
sgmnet-fingervein,face,Multi-PIE_genuine_4,112,112,2000,2000,124,8,0.0645,False,0.0625,True,False,1.1399
aspanformer,face,Multi-PIE_genuine_4,112,112,431,431,431,179,0.4153,True,0.4044,True,True,2.0346
deepdetect,face,Multi-PIE_genuine_4,112,112,5703,21180,12,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_5,070,070,633,633,633,237,0.3744,False,0.3515,True,False,2.7618
orb-fingervein,face,Multi-PIE_genuine_5,070,070,2591,2796,37,14,0.3784,False,0.3688,True,False,1.9150
sift-fingervein,face,Multi-PIE_genuine_5,070,070,439,377,17,0,,False,,True,False,
superglue-fingervein,face,Multi-PIE_genuine_5,070,070,573,495,248,88,0.3548,True,0.3307,True,True,2.9087
sgmnet-fingervein,face,Multi-PIE_genuine_5,070,070,2000,2000,402,27,0.0672,False,0.0668,True,False,1.6143
aspanformer,face,Multi-PIE_genuine_5,070,070,675,675,675,346,0.5126,True,0.4829,True,True,2.6920
deepdetect,face,Multi-PIE_genuine_5,070,070,8162,8101,5,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_6,051,051,7,7,7,0,,False,,True,False,
orb-fingervein,face,Multi-PIE_genuine_6,051,051,4018,4172,42,0,,False,,True,False,
sift-fingervein,face,Multi-PIE_genuine_6,051,051,1207,965,30,0,,False,,True,False,
superglue-fingervein,face,Multi-PIE_genuine_6,051,051,932,898,3,0,,False,,True,False,
