matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
loftr,iris,AMF-Iris_genuine_0,assem,assem,1782,1782,1782,1710,0.9596,True,0.9596,True,True,1.1688
orb,iris,AMF-Iris_genuine_0,assem,assem,81,81,29,25,0.8621,True,0.8621,True,True,0.9625
sift,iris,AMF-Iris_genuine_0,assem,assem,31,27,19,16,0.8421,True,0.8421,True,True,1.0612
superglue,iris,AMF-Iris_genuine_0,assem,assem,983,957,812,680,0.8374,True,0.8374,True,True,2.4443
sgmnet,iris,AMF-Iris_genuine_0,assem,assem,488,517,243,183,0.7531,True,0.7531,True,True,1.2102
aspanformer,iris,AMF-Iris_genuine_0,assem,assem,2980,2980,2980,2817,0.9453,True,0.9453,True,True,0.7841
deepdetect,iris,AMF-Iris_genuine_0,assem,assem,5777,5492,1687,1687,1.0000,True,1.0000,True,True,0.8834
loftr,iris,AMF-Iris_genuine_1,abeer,abeer,860,860,860,719,0.8360,True,0.8360,True,True,1.4105
orb,iris,AMF-Iris_genuine_1,abeer,abeer,139,133,37,34,0.9189,True,0.9189,True,True,1.2461
sift,iris,AMF-Iris_genuine_1,abeer,abeer,19,18,9,7,0.7778,True,0.7778,True,True,0.5121
superglue,iris,AMF-Iris_genuine_1,abeer,abeer,413,423,323,176,0.5449,True,0.5449,True,True,2.6795
sgmnet,iris,AMF-Iris_genuine_1,abeer,abeer,269,246,116,79,0.6810,True,0.6810,True,True,1.3896
aspanformer,iris,AMF-Iris_genuine_1,abeer,abeer,2272,2272,2272,1939,0.8534,True,0.8534,True,True,1.3881
deepdetect,iris,AMF-Iris_genuine_1,abeer,abeer,4381,4518,1187,1092,0.9200,True,0.9200,True,True,0.9529
loftr,iris,AMF-Iris_genuine_2,khalid,khalid,883,883,883,631,0.7146,True,0.7146,True,True,2.1481
orb,iris,AMF-Iris_genuine_2,khalid,khalid,19,35,4,0,,False,,True,False,
sift,iris,AMF-Iris_genuine_2,khalid,khalid,16,22,8,6,0.7500,True,0.7500,True,True,0.8523
superglue,iris,AMF-Iris_genuine_2,khalid,khalid,508,520,389,187,0.4807,True,0.4807,True,True,2.8334
sgmnet,iris,AMF-Iris_genuine_2,khalid,khalid,267,318,111,63,0.5676,True,0.5676,True,True,1.4795
aspanformer,iris,AMF-Iris_genuine_2,khalid,khalid,1882,1882,1882,1289,0.6849,True,0.6849,True,True,1.6398
deepdetect,iris,AMF-Iris_genuine_2,khalid,khalid,4975,4759,689,684,0.9927,True,0.9927,True,True,0.9387
loftr,iris,AMF-Iris_genuine_3,kamal,kamal,845,845,845,555,0.6568,True,0.6568,True,True,1.0534
orb,iris,AMF-Iris_genuine_3,kamal,kamal,27,23,10,0,,False,,True,False,
sift,iris,AMF-Iris_genuine_3,kamal,kamal,24,12,9,8,0.8889,True,0.8889,True,True,1.6467
superglue,iris,AMF-Iris_genuine_3,kamal,kamal,663,618,516,346,0.6705,True,0.6705,True,True,2.5016
sgmnet,iris,AMF-Iris_genuine_3,kamal,kamal,390,358,157,104,0.6624,True,0.6624,True,True,1.0380
aspanformer,iris,AMF-Iris_genuine_3,kamal,kamal,2603,2603,2603,2490,0.9566,True,0.9566,True,True,0.8321
deepdetect,iris,AMF-Iris_genuine_3,kamal,kamal,4385,4413,813,797,0.9803,True,0.9803,True,True,1.5656
loftr,iris,AMF-Iris_genuine_4,huda,huda,1123,1123,1123,980,0.8727,True,0.8727,True,True,1.0479
orb,iris,AMF-Iris_genuine_4,huda,huda,28,29,5,0,,False,,True,False,
sift,iris,AMF-Iris_genuine_4,huda,huda,9,7,4,4,1.0000,True,1.0000,True,True,0.0000
superglue,iris,AMF-Iris_genuine_4,huda,huda,905,952,748,545,0.7286,True,0.7286,True,True,2.3877
sgmnet,iris,AMF-Iris_genuine_4,huda,huda,512,461,212,144,0.6792,True,0.6792,True,True,1.2627
aspanformer,iris,AMF-Iris_genuine_4,huda,huda,2968,2968,2968,2968,1.0000,True,1.0000,True,True,0.7151
deepdetect,iris,AMF-Iris_genuine_4,huda,huda,4805,5188,1205,1156,0.9593,True,0.9593,True,True,1.0585
loftr,iris,AMF-Iris_genuine_5,aziz,aziz,675,675,675,473,0.7007,True,0.7007,True,True,1.9843
orb,iris,AMF-Iris_genuine_5,aziz,aziz,81,61,23,16,0.6957,True,0.6957,True,True,1.6332
sift,iris,AMF-Iris_genuine_5,aziz,aziz,25,17,6,6,1.0000,True,1.0000,True,True,0.5755
superglue,iris,AMF-Iris_genuine_5,aziz,aziz,469,437,356,190,0.5337,True,0.5337,True,True,2.5912
sgmnet,iris,AMF-Iris_genuine_5,aziz,aziz,270,308,116,76,0.6552,True,0.6552,True,True,1.1613
aspanformer,iris,AMF-Iris_genuine_5,aziz,aziz,2439,2439,2439,2221,0.9106,True,0.9106,True,True,1.1777
deepdetect,iris,AMF-Iris_genuine_5,aziz,aziz,5003,4924,998,992,0.9940,True,0.9940,True,True,0.6606
loftr,iris,AMF-Iris_genuine_6,asmaa,asmaa,361,361,361,214,0.5928,True,0.5928,True,True,1.9799
orb,iris,AMF-Iris_genuine_6,asmaa,asmaa,69,121,5,0,,False,,True,False,
sift,iris,AMF-Iris_genuine_6,asmaa,asmaa,25,26,5,0,,False,,True,False,
superglue,iris,AMF-Iris_genuine_6,asmaa,asmaa,586,498,170,93,0.5471,True,0.5471,True,True,2.8944
sgmnet,iris,AMF-Iris_genuine_6,asmaa,asmaa,297,322,117,60,0.5128,True,0.5128,True,True,1.3086
aspanformer,iris,AMF-Iris_genuine_6,asmaa,asmaa,1459,1459,1459,956,0.6552,True,0.6552,True,True,1.9126
deepdetect,iris,AMF-Iris_genuine_6,asmaa,asmaa,4166,3724,145,141,0.9724,True,0.9724,True,True,0.8299
loftr,iris,AMF-Iris_genuine_7,anas,anas,1277,1277,1277,1076,0.8426,True,0.8426,True,True,0.8021
orb,iris,AMF-Iris_genuine_7,anas,anas,99,97,61,55,0.9016,True,0.9016,True,True,1.2731
sift,iris,AMF-Iris_genuine_7,anas,anas,32,46,29,27,0.9310,True,0.9310,True,True,1.1177
superglue,iris,AMF-Iris_genuine_7,anas,anas,555,562,456,273,0.5987,True,0.5987,True,True,2.2680
sgmnet,iris,AMF-Iris_genuine_7,anas,anas,365,392,186,140,0.7527,True,0.7527,True,True,1.1484
aspanformer,iris,AMF-Iris_genuine_7,anas,anas,2993,2993,2993,2963,0.9900,True,0.9900,True,True,0.4983
deepdetect,iris,AMF-Iris_genuine_7,anas,anas,6201,6365,3128,3128,1.0000,True,1.0000,True,True,0.6496
loftr,iris,AMF-Iris_genuine_8,sirag,sirag,997,997,997,641,0.6429,True,0.6429,True,True,1.7960
orb,iris,AMF-Iris_genuine_8,sirag,sirag,45,54,11,0,,False,,True,False,
sift,iris,AMF-Iris_genuine_8,sirag,sirag,19,15,11,0,,False,,True,False,
superglue,iris,AMF-Iris_genuine_8,sirag,sirag,813,764,611,447,0.7316,True,0.7316,True,True,2.6305
