matcher,modality,pair_id,identity1,identity2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
LoFTR_indoor,iris,MMU-Iris_genuine_0,6,6,626,471,0.7524,True,0.7524,True,True,1.6896
ORB,iris,MMU-Iris_genuine_0,6,6,32,21,0.6562,True,0.6562,True,True,1.3786
SIFT,iris,MMU-Iris_genuine_0,6,6,15,14,0.9333,True,0.9333,True,True,0.7597
LoFTR_indoor,iris,MMU-Iris_genuine_1,9,9,312,277,0.8878,True,0.8878,True,True,1.2675
ORB,iris,MMU-Iris_genuine_1,9,9,22,11,0.5000,True,0.5000,True,True,1.8953
SIFT,iris,MMU-Iris_genuine_1,9,9,4,4,1.0000,True,1.0000,True,True,inf
LoFTR_indoor,iris,MMU-Iris_genuine_2,8,8,534,413,0.7734,True,0.7734,True,True,1.4421
ORB,iris,MMU-Iris_genuine_2,8,8,1,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_2,8,8,3,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_3,35,35,628,485,0.7723,True,0.7723,True,True,1.0623
ORB,iris,MMU-Iris_genuine_3,35,35,8,8,1.0000,True,1.0000,True,True,1.6564
SIFT,iris,MMU-Iris_genuine_3,35,35,6,5,0.8333,True,0.8333,True,True,0.8417
LoFTR_indoor,iris,MMU-Iris_genuine_4,14,14,565,401,0.7097,True,0.7097,True,True,1.5079
ORB,iris,MMU-Iris_genuine_4,14,14,4,4,1.0000,True,1.0000,True,True,0.0000
SIFT,iris,MMU-Iris_genuine_4,14,14,5,4,0.8000,True,0.8000,True,True,0.0000
LoFTR_indoor,iris,MMU-Iris_genuine_5,11,11,620,411,0.6629,True,0.6629,True,True,1.5961
ORB,iris,MMU-Iris_genuine_5,11,11,7,4,0.5714,True,0.5714,True,True,0.0000
SIFT,iris,MMU-Iris_genuine_5,11,11,5,4,0.8000,True,0.8000,True,True,0.0000
LoFTR_indoor,iris,MMU-Iris_genuine_6,40,40,552,429,0.7772,True,0.7772,True,True,2.0477
ORB,iris,MMU-Iris_genuine_6,40,40,13,11,0.8462,True,0.8462,True,True,0.9512
SIFT,iris,MMU-Iris_genuine_6,40,40,8,5,0.6250,True,0.6250,True,True,0.4208
LoFTR_indoor,iris,MMU-Iris_genuine_7,34,34,730,542,0.7425,True,0.7425,True,True,1.6439
ORB,iris,MMU-Iris_genuine_7,34,34,8,6,0.7500,True,0.7500,True,True,1.1635
SIFT,iris,MMU-Iris_genuine_7,34,34,6,5,0.8333,True,0.8333,True,True,0.4691
LoFTR_indoor,iris,MMU-Iris_genuine_8,7,7,676,529,0.7825,True,0.7825,True,True,2.2682
ORB,iris,MMU-Iris_genuine_8,7,7,8,6,0.7500,True,0.7500,True,True,1.1013
SIFT,iris,MMU-Iris_genuine_8,7,7,10,7,0.7000,True,0.7000,True,True,1.0270
LoFTR_indoor,iris,MMU-Iris_genuine_9,1,1,517,354,0.6847,True,0.6847,True,True,2.3564
ORB,iris,MMU-Iris_genuine_9,1,1,9,7,0.7778,True,0.7778,True,True,0.7541
SIFT,iris,MMU-Iris_genuine_9,1,1,7,7,1.0000,True,1.0000,True,True,1.3452
LoFTR_indoor,iris,MMU-Iris_genuine_10,13,13,685,440,0.6423,True,0.6423,True,True,2.0554
ORB,iris,MMU-Iris_genuine_10,13,13,24,23,0.9583,True,0.9583,True,True,1.6679
SIFT,iris,MMU-Iris_genuine_10,13,13,8,8,1.0000,True,1.0000,True,True,0.9321
LoFTR_indoor,iris,MMU-Iris_genuine_11,45,45,794,436,0.5491,True,0.5491,True,True,2.5376
ORB,iris,MMU-Iris_genuine_11,45,45,9,4,0.4444,False,0.4444,True,False,0.0000
SIFT,iris,MMU-Iris_genuine_11,45,45,3,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_12,20,20,346,264,0.7630,True,0.7630,True,True,1.3952
ORB,iris,MMU-Iris_genuine_12,20,20,0,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_12,20,20,1,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_13,17,17,533,408,0.7655,True,0.7655,True,True,1.4141
ORB,iris,MMU-Iris_genuine_13,17,17,7,6,0.8571,True,0.8571,True,True,0.6981
SIFT,iris,MMU-Iris_genuine_13,17,17,4,4,1.0000,True,1.0000,True,True,0.0000
LoFTR_indoor,iris,MMU-Iris_genuine_14,28,28,520,400,0.7692,True,0.7692,True,True,1.3636
ORB,iris,MMU-Iris_genuine_14,28,28,2,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_14,28,28,4,4,1.0000,True,1.0000,True,True,0.0000
LoFTR_indoor,iris,MMU-Iris_genuine_15,31,31,561,404,0.7201,True,0.7201,True,True,1.7934
ORB,iris,MMU-Iris_genuine_15,31,31,6,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_15,31,31,3,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_16,31,31,627,445,0.7097,True,0.7097,True,True,1.4042
ORB,iris,MMU-Iris_genuine_16,31,31,1,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_16,31,31,4,4,1.0000,True,1.0000,True,True,0.0000
LoFTR_indoor,iris,MMU-Iris_genuine_17,19,19,504,361,0.7163,True,0.7163,True,True,2.3198
ORB,iris,MMU-Iris_genuine_17,19,19,20,10,0.5000,True,0.5000,True,True,1.7996
SIFT,iris,MMU-Iris_genuine_17,19,19,4,4,1.0000,True,1.0000,True,True,0.0000
LoFTR_indoor,iris,MMU-Iris_genuine_18,28,28,534,326,0.6105,True,0.6105,True,True,1.4533
ORB,iris,MMU-Iris_genuine_18,28,28,0,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_18,28,28,2,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_19,12,12,473,391,0.8266,True,0.8266,True,True,1.3922
ORB,iris,MMU-Iris_genuine_19,12,12,4,4,1.0000,True,1.0000,True,True,inf
SIFT,iris,MMU-Iris_genuine_19,12,12,2,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_20,7,7,559,376,0.6726,True,0.6726,True,True,0.9115
ORB,iris,MMU-Iris_genuine_20,7,7,6,5,0.8333,True,0.8333,True,True,0.4953
SIFT,iris,MMU-Iris_genuine_20,7,7,4,4,1.0000,True,1.0000,True,True,inf
LoFTR_indoor,iris,MMU-Iris_genuine_21,27,27,347,196,0.5648,True,0.5648,True,True,1.7781
ORB,iris,MMU-Iris_genuine_21,27,27,2,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_21,27,27,3,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_22,1,1,645,590,0.9147,True,0.9147,True,True,1.1723
ORB,iris,MMU-Iris_genuine_22,1,1,2,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_22,1,1,7,5,0.7143,True,0.7143,True,True,0.6310
LoFTR_indoor,iris,MMU-Iris_genuine_23,27,27,523,398,0.7610,True,0.7610,True,True,1.0969
ORB,iris,MMU-Iris_genuine_23,27,27,1,0,,False,,True,False,
SIFT,iris,MMU-Iris_genuine_23,27,27,7,5,0.7143,True,0.7143,True,True,0.9051
LoFTR_indoor,iris,MMU-Iris_genuine_24,21,21,573,416,0.7260,True,0.7260,True,True,1.8167
ORB,iris,MMU-Iris_genuine_24,21,21,31,20,0.6452,True,0.6452,True,True,1.6754
SIFT,iris,MMU-Iris_genuine_24,21,21,13,6,0.4615,True,0.4615,True,True,10.2508
LoFTR_indoor,iris,MMU-Iris_genuine_25,30,30,292,151,0.5171,True,0.5171,True,True,2.4038
ORB,iris,MMU-Iris_genuine_25,30,30,19,11,0.5789,True,0.5789,True,True,1.5240
SIFT,iris,MMU-Iris_genuine_25,30,30,10,7,0.7000,True,0.7000,True,True,1.7137
LoFTR_indoor,iris,MMU-Iris_genuine_26,22,22,477,305,0.6394,True,0.6394,True,True,1.4246
ORB,iris,MMU-Iris_genuine_26,22,22,32,20,0.6250,True,0.6250,True,True,1.6567
SIFT,iris,MMU-Iris_genuine_26,22,22,13,13,1.0000,True,1.0000,True,True,1.4156
LoFTR_indoor,iris,MMU-Iris_genuine_27,29,29,580,420,0.7241,True,0.7241,True,True,1.6073
ORB,iris,MMU-Iris_genuine_27,29,29,7,6,0.8571,True,0.8571,True,True,1.0347
SIFT,iris,MMU-Iris_genuine_27,29,29,4,4,1.0000,True,1.0000,True,True,0.0000
LoFTR_indoor,iris,MMU-Iris_genuine_28,42,42,821,613,0.7467,True,0.7467,True,True,1.8767
ORB,iris,MMU-Iris_genuine_28,42,42,12,10,0.8333,True,0.8333,True,True,0.8764
SIFT,iris,MMU-Iris_genuine_28,42,42,6,5,0.8333,True,0.8333,True,True,0.0364
LoFTR_indoor,iris,MMU-Iris_genuine_29,44,44,525,390,0.7429,True,0.7429,True,True,1.8417
ORB,iris,MMU-Iris_genuine_29,44,44,19,16,0.8421,True,0.8421,True,True,1.1490
SIFT,iris,MMU-Iris_genuine_29,44,44,14,13,0.9286,True,0.9286,True,True,1.3404
LoFTR_indoor,iris,MMU-Iris_genuine_30,35,35,420,297,0.7071,True,0.7071,True,True,1.7836
ORB,iris,MMU-Iris_genuine_30,35,35,5,4,0.8000,True,0.8000,True,True,0.0000
SIFT,iris,MMU-Iris_genuine_30,35,35,1,0,,False,,True,False,
LoFTR_indoor,iris,MMU-Iris_genuine_31,40,40,406,248,0.6108,True,0.6108,True,True,2.3608
