matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
loftr,face,Multi-PIE_genuine_0,056,056,3,3,3,0,,False,,True,False,
orb,face,Multi-PIE_genuine_0,056,056,446,69,38,0,,False,,True,False,
sift,face,Multi-PIE_genuine_0,056,056,164,45,3,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_0,056,056,502,212,0,0,,False,,True,False,
sgmnet,face,Multi-PIE_genuine_0,056,056,3529,3640,37,7,0.1892,False,0.1813,True,False,0.6607
aspanformer,face,Multi-PIE_genuine_0,056,056,6,6,6,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_0,056,056,24034,14534,32,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_1,013,013,0,0,0,0,,False,,True,False,
orb,face,Multi-PIE_genuine_1,013,013,415,385,14,0,,False,,True,False,
sift,face,Multi-PIE_genuine_1,013,013,71,93,1,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_1,013,013,281,364,0,0,,False,,True,False,
sgmnet,face,Multi-PIE_genuine_1,013,013,3640,3572,280,17,0.0607,False,0.0606,True,False,1.2939
aspanformer,face,Multi-PIE_genuine_1,013,013,1,1,1,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_1,013,013,13599,18457,26,8,0.3077,True,0.3077,True,True,1.5282
loftr,face,Multi-PIE_genuine_2,137,137,12,12,12,0,,False,,True,False,
orb,face,Multi-PIE_genuine_2,137,137,270,141,13,0,,False,,True,False,
sift,face,Multi-PIE_genuine_2,137,137,35,53,0,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_2,137,137,205,320,48,12,0.2500,False,0.2364,True,False,2.4311
sgmnet,face,Multi-PIE_genuine_2,137,137,4000,3227,13,5,0.3846,False,0.3585,True,False,0.8154
aspanformer,face,Multi-PIE_genuine_2,137,137,95,95,95,50,0.5263,True,0.5127,True,True,2.0246
deepdetect,face,Multi-PIE_genuine_2,137,137,14045,26943,9,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_3,122,122,1,1,0,0,,False,,True,False,
orb,face,Multi-PIE_genuine_3,122,122,473,125,30,0,,False,,True,False,
sift,face,Multi-PIE_genuine_3,122,122,66,48,0,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_3,122,122,296,379,25,10,0.4000,False,0.3929,True,False,1.4181
sgmnet,face,Multi-PIE_genuine_3,122,122,4000,3700,57,7,0.1228,False,0.1177,True,False,0.4206
aspanformer,face,Multi-PIE_genuine_3,122,122,7,7,7,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_3,122,122,11667,30801,8,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_4,112,112,24,24,24,9,0.3750,False,0.3661,True,False,1.3275
orb,face,Multi-PIE_genuine_4,112,112,745,855,9,0,,False,,True,False,
sift,face,Multi-PIE_genuine_4,112,112,134,174,6,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_4,112,112,281,658,110,28,0.2545,False,0.2378,True,False,2.8583
sgmnet,face,Multi-PIE_genuine_4,112,112,4000,3415,104,15,0.1442,False,0.1437,True,False,1.1193
aspanformer,face,Multi-PIE_genuine_4,112,112,452,452,452,176,0.3894,False,0.3739,True,False,2.3105
deepdetect,face,Multi-PIE_genuine_4,112,112,7968,22725,24,15,0.6250,True,0.6250,True,True,0.9695
loftr,face,Multi-PIE_genuine_5,070,070,151,151,151,58,0.3841,False,0.3751,True,False,1.9750
orb,face,Multi-PIE_genuine_5,070,070,236,147,11,0,,False,,True,False,
sift,face,Multi-PIE_genuine_5,070,070,47,42,2,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_5,070,070,265,242,110,36,0.3273,False,0.3070,True,False,2.7794
sgmnet,face,Multi-PIE_genuine_5,070,070,3855,3850,293,78,0.2662,False,0.2628,True,False,1.7616
aspanformer,face,Multi-PIE_genuine_5,070,070,812,812,812,448,0.5517,True,0.5300,True,True,2.3017
deepdetect,face,Multi-PIE_genuine_5,070,070,16819,14190,33,28,0.8485,True,0.8485,True,True,2.1737
loftr,face,Multi-PIE_genuine_6,051,051,19,19,19,0,,False,,True,False,
orb,face,Multi-PIE_genuine_6,051,051,227,436,10,6,0.6000,True,0.5677,True,True,0.8566
sift,face,Multi-PIE_genuine_6,051,051,82,97,2,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_6,051,051,397,415,0,0,,False,,True,False,
sgmnet,face,Multi-PIE_genuine_6,051,051,2829,3117,33,8,0.2424,False,0.2347,True,False,0.9977
aspanformer,face,Multi-PIE_genuine_6,051,051,15,15,15,9,0.6000,True,0.5857,True,True,1.4118
deepdetect,face,Multi-PIE_genuine_6,051,051,33278,22703,26,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_7,044,044,9,9,9,5,0.5556,True,0.5179,True,True,0.9584
orb,face,Multi-PIE_genuine_7,044,044,353,187,13,9,0.6923,True,0.6758,True,True,0.5633
sift,face,Multi-PIE_genuine_7,044,044,99,35,4,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_7,044,044,433,243,62,18,0.2903,False,0.2756,True,False,2.5138
sgmnet,face,Multi-PIE_genuine_7,044,044,3011,4000,68,9,0.1324,False,0.1292,True,False,1.0241
aspanformer,face,Multi-PIE_genuine_7,044,044,18,18,18,12,0.6667,True,0.6404,True,True,2.1135
deepdetect,face,Multi-PIE_genuine_7,044,044,24177,17177,23,13,0.5652,True,0.5652,True,True,1.0952
loftr,face,Multi-PIE_genuine_8,210,210,0,0,0,0,,False,,True,False,
orb,face,Multi-PIE_genuine_8,210,210,387,251,14,0,,False,,True,False,
sift,face,Multi-PIE_genuine_8,210,210,64,71,2,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_8,210,210,412,180,0,0,,False,,True,False,
sgmnet,face,Multi-PIE_genuine_8,210,210,2794,4000,99,7,0.0707,False,0.0678,True,False,0.9321
aspanformer,face,Multi-PIE_genuine_8,210,210,9,9,9,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_8,210,210,25776,8126,11,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_9,016,016,43,43,43,0,,False,,True,False,
orb,face,Multi-PIE_genuine_9,016,016,275,619,6,0,,False,,True,False,
sift,face,Multi-PIE_genuine_9,016,016,62,102,1,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_9,016,016,418,295,91,36,0.3956,False,0.3718,True,False,2.7395
sgmnet,face,Multi-PIE_genuine_9,016,016,3105,4000,120,10,0.0833,False,0.0818,True,False,1.5093
aspanformer,face,Multi-PIE_genuine_9,016,016,16,16,16,13,0.8125,True,0.8069,True,True,0.9790
deepdetect,face,Multi-PIE_genuine_9,016,016,29641,25056,42,27,0.6429,True,0.6429,True,True,0.4500
loftr,face,Multi-PIE_genuine_10,015,015,1,1,0,0,,False,,True,False,
orb,face,Multi-PIE_genuine_10,015,015,347,577,11,0,,False,,True,False,
sift,face,Multi-PIE_genuine_10,015,015,123,133,4,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_10,015,015,323,341,3,0,,False,,True,False,
sgmnet,face,Multi-PIE_genuine_10,015,015,3052,2952,47,7,0.1489,False,0.1427,True,False,0.6160
aspanformer,face,Multi-PIE_genuine_10,015,015,22,22,22,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_10,015,015,33111,23996,12,6,0.5000,True,0.5000,True,True,1.7058
loftr,face,Multi-PIE_genuine_11,047,047,216,216,216,50,0.2315,False,0.2277,True,False,1.8286
orb,face,Multi-PIE_genuine_11,047,047,359,345,17,0,,False,,True,False,
sift,face,Multi-PIE_genuine_11,047,047,89,72,5,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_11,047,047,418,336,119,31,0.2605,False,0.2495,True,False,2.3650
sgmnet,face,Multi-PIE_genuine_11,047,047,3051,3891,17,6,0.3529,False,0.3340,True,False,0.3596
aspanformer,face,Multi-PIE_genuine_11,047,047,277,277,277,105,0.3791,False,0.3741,True,False,1.7661
deepdetect,face,Multi-PIE_genuine_11,047,047,23975,13836,17,7,0.4118,True,0.4118,True,True,0.4763
loftr,face,Multi-PIE_genuine_12,109,109,27,27,27,0,,False,,True,False,
orb,face,Multi-PIE_genuine_12,109,109,184,183,6,0,,False,,True,False,
sift,face,Multi-PIE_genuine_12,109,109,42,65,3,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_12,109,109,204,283,4,0,,False,,True,False,
sgmnet,face,Multi-PIE_genuine_12,109,109,3361,3482,45,7,0.1556,False,0.1491,True,False,0.8047
aspanformer,face,Multi-PIE_genuine_12,109,109,20,20,20,8,0.4000,False,0.3873,True,False,1.1136
deepdetect,face,Multi-PIE_genuine_12,109,109,7924,16971,10,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_13,116,116,4,4,4,0,,False,,True,False,
orb,face,Multi-PIE_genuine_13,116,116,438,627,10,0,,False,,True,False,
sift,face,Multi-PIE_genuine_13,116,116,109,142,4,4,1.0000,True,0.9165,True,True,0.0000
superglue,face,Multi-PIE_genuine_13,116,116,304,363,0,0,,False,,True,False,
sgmnet,face,Multi-PIE_genuine_13,116,116,3626,3890,180,10,0.0556,False,0.0546,True,False,1.0295
aspanformer,face,Multi-PIE_genuine_13,116,116,7,7,7,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_13,116,116,20415,20189,11,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_14,014,014,8,8,8,4,0.5000,True,0.4583,True,True,0.0000
orb,face,Multi-PIE_genuine_14,014,014,561,427,7,0,,False,,True,False,
sift,face,Multi-PIE_genuine_14,014,014,158,85,5,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_14,014,014,500,246,4,0,,False,,True,False,
sgmnet,face,Multi-PIE_genuine_14,014,014,3746,3606,31,8,0.2581,False,0.2499,True,False,0.8292
aspanformer,face,Multi-PIE_genuine_14,014,014,13,13,13,6,0.4615,True,0.4340,True,True,1.6227
deepdetect,face,Multi-PIE_genuine_14,014,014,20029,8677,41,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_15,099,099,19,19,19,5,0.2632,False,0.2453,True,False,0.8851
orb,face,Multi-PIE_genuine_15,099,099,275,551,7,0,,False,,True,False,
sift,face,Multi-PIE_genuine_15,099,099,77,103,4,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_15,099,099,393,446,136,48,0.3529,False,0.3291,True,False,2.8959
sgmnet,face,Multi-PIE_genuine_15,099,099,4000,3538,362,41,0.1133,False,0.1116,True,False,1.7928
aspanformer,face,Multi-PIE_genuine_15,099,099,285,285,285,119,0.4175,True,0.4063,True,True,2.0455
deepdetect,face,Multi-PIE_genuine_15,099,099,23352,25220,55,32,0.5818,True,0.5818,True,True,3.1617
loftr,face,Multi-PIE_genuine_16,209,209,26,26,26,7,0.2692,False,0.2580,True,False,1.2402
orb,face,Multi-PIE_genuine_16,209,209,394,88,29,0,,False,,True,False,
sift,face,Multi-PIE_genuine_16,209,209,74,19,6,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_16,209,209,334,192,0,0,,False,,True,False,
sgmnet,face,Multi-PIE_genuine_16,209,209,3553,3658,124,10,0.0806,False,0.0792,True,False,1.1243
aspanformer,face,Multi-PIE_genuine_16,209,209,1,1,1,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_16,209,209,14162,9238,21,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_17,110,110,5,5,5,0,,False,,True,False,
orb,face,Multi-PIE_genuine_17,110,110,446,376,13,0,,False,,True,False,
sift,face,Multi-PIE_genuine_17,110,110,124,79,1,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_17,110,110,302,285,3,0,,False,,True,False,
sgmnet,face,Multi-PIE_genuine_17,110,110,4000,4000,20,6,0.3000,False,0.2839,True,False,0.6522
aspanformer,face,Multi-PIE_genuine_17,110,110,1,1,1,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_17,110,110,11991,13930,2,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_18,225,225,4,4,4,0,,False,,True,False,
orb,face,Multi-PIE_genuine_18,225,225,428,265,18,0,,False,,True,False,
sift,face,Multi-PIE_genuine_18,225,225,85,85,2,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_18,225,225,384,419,6,0,,False,,True,False,
sgmnet,face,Multi-PIE_genuine_18,225,225,3633,3814,51,9,0.1765,False,0.1723,True,False,1.0522
aspanformer,face,Multi-PIE_genuine_18,225,225,15,15,15,8,0.5333,True,0.5164,True,True,1.4142
deepdetect,face,Multi-PIE_genuine_18,225,225,17121,20467,8,6,0.7500,True,0.7500,True,True,0.6315
loftr,face,Multi-PIE_genuine_19,139,139,2,2,2,0,,False,,True,False,
orb,face,Multi-PIE_genuine_19,139,139,52,288,2,0,,False,,True,False,
sift,face,Multi-PIE_genuine_19,139,139,17,80,2,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_19,139,139,138,310,0,0,,False,,True,False,
sgmnet,face,Multi-PIE_genuine_19,139,139,4000,3242,114,10,0.0877,False,0.0862,True,False,1.3836
aspanformer,face,Multi-PIE_genuine_19,139,139,1,1,0,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_19,139,139,7004,30369,2,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_20,004,004,47,47,47,13,0.2766,False,0.2664,True,False,2.1126
orb,face,Multi-PIE_genuine_20,004,004,734,691,9,0,,False,,True,False,
sift,face,Multi-PIE_genuine_20,004,004,219,146,17,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_20,004,004,552,356,165,38,0.2303,False,0.2208,True,False,2.3422
sgmnet,face,Multi-PIE_genuine_20,004,004,3173,4000,42,8,0.1905,False,0.1844,True,False,0.7094
aspanformer,face,Multi-PIE_genuine_20,004,004,107,107,107,51,0.4766,True,0.4553,True,True,2.4177
deepdetect,face,Multi-PIE_genuine_20,004,004,26504,13531,42,22,0.5238,True,0.5238,True,True,1.2463
loftr,face,Multi-PIE_genuine_21,080,080,1,1,1,0,,False,,True,False,
orb,face,Multi-PIE_genuine_21,080,080,188,342,5,0,,False,,True,False,
sift,face,Multi-PIE_genuine_21,080,080,35,48,1,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_21,080,080,262,453,4,4,1.0000,True,0.9165,True,True,0.0000
sgmnet,face,Multi-PIE_genuine_21,080,080,4000,3847,6,0,,False,,True,False,
aspanformer,face,Multi-PIE_genuine_21,080,080,5,5,5,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_21,080,080,19290,19472,13,9,0.6923,True,0.6923,True,True,0.7796
loftr,face,Multi-PIE_genuine_22,211,211,162,162,162,39,0.2407,False,0.2337,True,False,2.0975
orb,face,Multi-PIE_genuine_22,211,211,496,340,16,0,,False,,True,False,
sift,face,Multi-PIE_genuine_22,211,211,131,75,6,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_22,211,211,576,393,74,13,0.1757,False,0.1657,True,False,2.5249
sgmnet,face,Multi-PIE_genuine_22,211,211,2798,3049,113,9,0.0796,False,0.0777,True,False,1.0151
aspanformer,face,Multi-PIE_genuine_22,211,211,88,88,88,35,0.3977,False,0.3872,True,False,2.0384
deepdetect,face,Multi-PIE_genuine_22,211,211,33056,17768,77,29,0.3766,True,0.3766,True,True,1.2680
loftr,face,Multi-PIE_genuine_23,170,170,14,14,14,5,0.3571,False,0.3329,True,False,1.2295
orb,face,Multi-PIE_genuine_23,170,170,58,662,3,0,,False,,True,False,
sift,face,Multi-PIE_genuine_23,170,170,32,147,0,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_23,170,170,309,369,0,0,,False,,True,False,
sgmnet,face,Multi-PIE_genuine_23,170,170,3500,2987,33,6,0.1818,False,0.1720,True,False,0.7973
aspanformer,face,Multi-PIE_genuine_23,170,170,3,3,0,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_23,170,170,15755,24423,25,10,0.4000,True,0.4000,True,True,2.1344
loftr,face,Multi-PIE_genuine_24,139,139,236,236,236,121,0.5127,True,0.4941,True,True,2.2384
orb,face,Multi-PIE_genuine_24,139,139,123,491,4,0,,False,,True,False,
sift,face,Multi-PIE_genuine_24,139,139,61,86,1,0,,False,,True,False,
