matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
SIFT,face,Multi-PIE_genuine_0,047,047,63,57,6,5,0.8333,True,0.8333,True,True,0.4369
SIFT,face,Multi-PIE_genuine_1,011,011,31,73,1,0,,False,,True,False,
SIFT,face,Multi-PIE_genuine_2,114,114,73,67,7,5,0.7143,True,0.7143,True,True,0.0000
SIFT,face,Multi-PIE_genuine_3,102,102,89,119,2,0,,False,,True,False,
SIFT,face,Multi-PIE_genuine_4,093,093,54,72,3,0,,False,,True,False,
SIFT,face,Multi-PIE_genuine_5,058,058,44,42,18,12,0.6667,True,0.6667,True,True,1.7613
SIFT,face,Multi-PIE_genuine_6,043,043,154,234,48,21,0.4375,False,0.4375,True,False,1.7792
SIFT,face,Multi-PIE_genuine_7,227,227,18,48,3,0,,False,,True,False,
SIFT,face,Multi-PIE_genuine_8,036,036,30,45,2,0,,False,,True,False,
SIFT,face,Multi-PIE_genuine_9,246,246,104,112,43,33,0.7674,True,0.7674,True,True,1.3851
SIFT,face,Multi-PIE_impostor_0,247,019,36,105,1,0,,False,,False,True,
SIFT,face,Multi-PIE_impostor_1,195,002,41,58,0,0,,False,,False,True,
SIFT,face,Multi-PIE_impostor_2,147,036,21,46,0,0,,False,,False,True,
SIFT,face,Multi-PIE_impostor_3,014,244,81,159,1,0,,False,,False,True,
SIFT,face,Multi-PIE_impostor_4,180,182,64,32,0,0,,False,,False,True,
SIFT,face,Multi-PIE_impostor_5,111,207,92,70,5,0,,False,,False,True,
SIFT,face,Multi-PIE_impostor_6,075,202,68,37,0,0,,False,,False,True,
SIFT,face,Multi-PIE_impostor_7,247,141,40,12,1,0,,False,,False,True,
SIFT,face,Multi-PIE_impostor_8,097,220,140,58,3,0,,False,,False,True,
SIFT,face,Multi-PIE_impostor_9,227,036,40,49,3,0,,False,,False,True,
