matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
loftr,finger,FV-USM_genuine_0,080,080,384,384,384,384,1.0000,True,1.0000,True,True,0.1903
orb,finger,FV-USM_genuine_0,080,080,0,0,0,0,,False,,True,False,
sift,finger,FV-USM_genuine_0,080,080,0,0,0,0,,False,,True,False,
superglue,finger,FV-USM_genuine_0,080,080,166,174,64,28,0.4375,False,0.4258,True,False,2.0394
sgmnet,finger,FV-USM_genuine_0,080,080,741,592,334,96,0.2874,False,0.2853,True,False,1.6487
aspanformer,finger,FV-USM_genuine_0,080,080,185,185,185,182,0.9838,True,0.9838,True,True,0.1752
deepdetect,finger,FV-USM_genuine_0,080,080,225,126,0,0,,False,,True,False,
loftr,finger,FV-USM_genuine_1,014,014,69,69,69,63,0.9130,True,0.9130,True,True,0.1280
orb,finger,FV-USM_genuine_1,014,014,0,0,0,0,,False,,True,False,
sift,finger,FV-USM_genuine_1,014,014,0,0,0,0,,False,,True,False,
superglue,finger,FV-USM_genuine_1,014,014,176,129,87,39,0.4483,False,0.4336,True,False,2.1634
sgmnet,finger,FV-USM_genuine_1,014,014,954,863,344,87,0.2529,False,0.2495,True,False,1.7697
aspanformer,finger,FV-USM_genuine_1,014,014,25,25,25,24,0.9600,True,0.9598,True,True,0.1523
deepdetect,finger,FV-USM_genuine_1,014,014,170,104,3,0,,False,,True,False,
loftr,finger,FV-USM_genuine_2,004,004,8,8,8,6,0.7500,True,0.7097,True,True,0.2984
orb,finger,FV-USM_genuine_2,004,004,0,0,0,0,,False,,True,False,
sift,finger,FV-USM_genuine_2,004,004,0,0,0,0,,False,,True,False,
superglue,finger,FV-USM_genuine_2,004,004,130,212,1,0,,False,,True,False,
sgmnet,finger,FV-USM_genuine_2,004,004,778,871,18,7,0.3889,False,0.3727,True,False,0.5187
aspanformer,finger,FV-USM_genuine_2,004,004,0,0,0,0,,False,,True,False,
deepdetect,finger,FV-USM_genuine_2,004,004,100,209,2,0,,False,,True,False,
loftr,finger,FV-USM_genuine_3,093,093,55,55,55,39,0.7091,True,0.7060,True,True,1.5877
orb,finger,FV-USM_genuine_3,093,093,0,0,0,0,,False,,True,False,
sift,finger,FV-USM_genuine_3,093,093,0,0,0,0,,False,,True,False,
superglue,finger,FV-USM_genuine_3,093,093,214,208,4,4,1.0000,True,0.9165,True,True,0.0000
sgmnet,finger,FV-USM_genuine_3,093,093,694,662,214,30,0.1402,False,0.1401,True,False,1.5182
aspanformer,finger,FV-USM_genuine_3,093,093,3,3,3,0,,False,,True,False,
deepdetect,finger,FV-USM_genuine_3,093,093,258,626,14,12,0.8571,True,0.8571,True,True,0.5224
loftr,finger,FV-USM_genuine_4,035,035,168,168,168,130,0.7738,True,0.7738,True,True,1.4010
orb,finger,FV-USM_genuine_4,035,035,0,0,0,0,,False,,True,False,
sift,finger,FV-USM_genuine_4,035,035,0,0,0,0,,False,,True,False,
superglue,finger,FV-USM_genuine_4,035,035,117,107,7,5,0.7143,True,0.6658,True,True,1.2474
sgmnet,finger,FV-USM_genuine_4,035,035,725,699,270,65,0.2407,False,0.2376,True,False,1.7597
aspanformer,finger,FV-USM_genuine_4,035,035,12,12,12,0,,False,,True,False,
deepdetect,finger,FV-USM_genuine_4,035,035,1266,558,0,0,,False,,True,False,
loftr,finger,FV-USM_genuine_5,031,031,3,3,3,0,,False,,True,False,
orb,finger,FV-USM_genuine_5,031,031,0,0,0,0,,False,,True,False,
sift,finger,FV-USM_genuine_5,031,031,1,2,0,0,,False,,True,False,
superglue,finger,FV-USM_genuine_5,031,031,206,190,1,0,,False,,True,False,
sgmnet,finger,FV-USM_genuine_5,031,031,759,700,128,30,0.2344,False,0.2342,True,False,1.5113
aspanformer,finger,FV-USM_genuine_5,031,031,1,1,1,0,,False,,True,False,
deepdetect,finger,FV-USM_genuine_5,031,031,101,148,0,0,,False,,True,False,
loftr,finger,FV-USM_genuine_6,028,028,438,438,438,424,0.9680,True,0.9680,True,True,0.1823
orb,finger,FV-USM_genuine_6,028,028,0,0,0,0,,False,,True,False,
sift,finger,FV-USM_genuine_6,028,028,0,0,0,0,,False,,True,False,
superglue,finger,FV-USM_genuine_6,028,028,111,123,24,10,0.4167,False,0.4070,True,False,1.6118
sgmnet,finger,FV-USM_genuine_6,028,028,781,650,184,52,0.2826,False,0.2794,True,False,1.7255
aspanformer,finger,FV-USM_genuine_6,028,028,23,23,23,23,1.0000,True,0.9997,True,True,0.1408
deepdetect,finger,FV-USM_genuine_6,028,028,102,128,0,0,,False,,True,False,
loftr,finger,FV-USM_genuine_7,018,018,88,88,88,78,0.8864,True,0.8864,True,True,0.5003
orb,finger,FV-USM_genuine_7,018,018,0,0,0,0,,False,,True,False,
sift,finger,FV-USM_genuine_7,018,018,0,0,0,0,,False,,True,False,
superglue,finger,FV-USM_genuine_7,018,018,171,206,2,0,,False,,True,False,
sgmnet,finger,FV-USM_genuine_7,018,018,903,925,151,28,0.1854,False,0.1849,True,False,1.5607
aspanformer,finger,FV-USM_genuine_7,018,018,2,2,2,0,,False,,True,False,
deepdetect,finger,FV-USM_genuine_7,018,018,146,90,25,25,1.0000,True,1.0000,True,True,0.0000
loftr,finger,FV-USM_genuine_8,092,092,16,16,16,11,0.6875,True,0.6786,True,True,0.6216
orb,finger,FV-USM_genuine_8,092,092,0,0,0,0,,False,,True,False,
sift,finger,FV-USM_genuine_8,092,092,0,0,0,0,,False,,True,False,
superglue,finger,FV-USM_genuine_8,092,092,196,231,0,0,,False,,True,False,
sgmnet,finger,FV-USM_genuine_8,092,092,959,950,60,14,0.2333,False,0.2322,True,False,1.3407
aspanformer,finger,FV-USM_genuine_8,092,092,0,0,0,0,,False,,True,False,
deepdetect,finger,FV-USM_genuine_8,092,092,282,179,1,0,,False,,True,False,
loftr,finger,FV-USM_genuine_9,013,013,75,75,75,59,0.7867,True,0.7867,True,True,0.7649
orb,finger,FV-USM_genuine_9,013,013,0,0,0,0,,False,,True,False,
sift,finger,FV-USM_genuine_9,013,013,0,0,0,0,,False,,True,False,
