matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
LoFTR_indoor,face,Multi-PIE_genuine_0,047,047,864,864,864,455,0.5266,True,0.5266,True,True,2.2226
ORB,face,Multi-PIE_genuine_0,047,047,258,159,22,0,,False,,True,False,
SIFT,face,Multi-PIE_genuine_0,047,047,63,57,6,5,0.8333,True,0.8333,True,True,0.4369
SuperGlue,face,Multi-PIE_genuine_0,047,047,320,321,157,81,0.5159,True,0.5159,True,True,2.7190
SGMNet_root_SGM,face,Multi-PIE_genuine_0,047,047,2610,2500,868,205,0.2362,False,0.2362,True,False,1.8526
ASpanFormer_indoor,face,Multi-PIE_genuine_0,047,047,1070,1070,1070,726,0.6785,True,0.6785,True,True,1.7695
DeepDetect,face,Multi-PIE_genuine_0,047,047,10279,11045,38,29,0.7632,True,0.7632,True,True,2.2627
LoFTR_indoor,face,Multi-PIE_genuine_1,011,011,597,597,597,320,0.5360,True,0.5360,True,True,2.1786
ORB,face,Multi-PIE_genuine_1,011,011,130,343,5,0,,False,,True,False,
SIFT,face,Multi-PIE_genuine_1,011,011,31,73,1,0,,False,,True,False,
SuperGlue,face,Multi-PIE_genuine_1,011,011,214,360,135,54,0.4000,False,0.4000,True,False,2.8902
SGMNet_root_SGM,face,Multi-PIE_genuine_1,011,011,3099,2565,457,88,0.1926,False,0.1926,True,False,1.6231
ASpanFormer_indoor,face,Multi-PIE_genuine_1,011,011,739,739,739,506,0.6847,True,0.6847,True,True,2.1679
DeepDetect,face,Multi-PIE_genuine_1,011,011,8816,14558,59,44,0.7458,True,0.7458,True,True,1.5258
LoFTR_indoor,face,Multi-PIE_genuine_2,114,114,1231,1231,1231,1145,0.9301,True,0.9301,True,True,0.7247
ORB,face,Multi-PIE_genuine_2,114,114,479,210,36,0,,False,,True,False,
SIFT,face,Multi-PIE_genuine_2,114,114,73,67,7,5,0.7143,True,0.7143,True,True,0.0000
SuperGlue,face,Multi-PIE_genuine_2,114,114,207,321,154,55,0.3571,False,0.3571,True,False,2.6249
SGMNet_root_SGM,face,Multi-PIE_genuine_2,114,114,2921,2610,1255,555,0.4422,True,0.4422,True,True,1.5702
ASpanFormer_indoor,face,Multi-PIE_genuine_2,114,114,2644,2644,2644,2479,0.9376,True,0.9376,True,True,0.6163
DeepDetect,face,Multi-PIE_genuine_2,114,114,6708,9410,66,63,0.9545,True,0.9545,True,True,0.5571
LoFTR_indoor,face,Multi-PIE_genuine_3,102,102,457,457,457,86,0.1882,False,0.1882,True,False,2.5985
ORB,face,Multi-PIE_genuine_3,102,102,381,319,12,6,0.5000,True,0.5000,True,True,1.3071
SIFT,face,Multi-PIE_genuine_3,102,102,89,119,2,0,,False,,True,False,
SuperGlue,face,Multi-PIE_genuine_3,102,102,346,356,134,43,0.3209,False,0.3209,True,False,2.5149
SGMNet_root_SGM,face,Multi-PIE_genuine_3,102,102,2017,2362,153,24,0.1569,False,0.1569,True,False,1.6046
ASpanFormer_indoor,face,Multi-PIE_genuine_3,102,102,504,504,504,229,0.4544,True,0.4544,True,True,2.6368
DeepDetect,face,Multi-PIE_genuine_3,102,102,24722,19467,35,17,0.4857,True,0.4857,True,True,0.7013
LoFTR_indoor,face,Multi-PIE_genuine_4,093,093,431,431,431,180,0.4176,False,0.4176,True,False,2.5150
ORB,face,Multi-PIE_genuine_4,093,093,380,230,34,0,,False,,True,False,
SIFT,face,Multi-PIE_genuine_4,093,093,54,72,3,0,,False,,True,False,
SuperGlue,face,Multi-PIE_genuine_4,093,093,254,357,148,52,0.3514,False,0.3514,True,False,2.6041
SGMNet_root_SGM,face,Multi-PIE_genuine_4,093,093,2935,2601,470,24,0.0511,False,0.0511,True,False,1.6643
ASpanFormer_indoor,face,Multi-PIE_genuine_4,093,093,928,928,928,597,0.6433,True,0.6433,True,True,2.3545
DeepDetect,face,Multi-PIE_genuine_4,093,093,7337,14057,22,15,0.6818,True,0.6818,True,True,0.4852
LoFTR_indoor,face,Multi-PIE_genuine_5,058,058,1342,1342,1342,990,0.7377,True,0.7377,True,True,2.3213
ORB,face,Multi-PIE_genuine_5,058,058,224,232,59,38,0.6441,True,0.6441,True,True,1.4846
SIFT,face,Multi-PIE_genuine_5,058,058,44,42,18,12,0.6667,True,0.6667,True,True,1.7613
SuperGlue,face,Multi-PIE_genuine_5,058,058,200,191,107,67,0.6262,True,0.6262,True,True,2.5708
SGMNet_root_SGM,face,Multi-PIE_genuine_5,058,058,2237,2369,958,397,0.4144,True,0.4144,True,True,1.7464
ASpanFormer_indoor,face,Multi-PIE_genuine_5,058,058,2239,2239,2239,1551,0.6927,True,0.6927,True,True,1.7206
DeepDetect,face,Multi-PIE_genuine_5,058,058,7155,7238,689,668,0.9695,True,0.9695,True,True,0.6506
LoFTR_indoor,face,Multi-PIE_genuine_6,043,043,1625,1625,1625,1068,0.6572,True,0.6572,True,True,1.7464
ORB,face,Multi-PIE_genuine_6,043,043,191,285,37,29,0.7838,True,0.7838,True,True,1.5626
SIFT,face,Multi-PIE_genuine_6,043,043,154,234,47,21,0.4468,False,0.4468,True,False,1.5400
SuperGlue,face,Multi-PIE_genuine_6,043,043,278,270,145,83,0.5724,True,0.5724,True,True,2.5306
SGMNet_root_SGM,face,Multi-PIE_genuine_6,043,043,2661,2644,1260,503,0.3992,False,0.3992,True,False,1.8114
ASpanFormer_indoor,face,Multi-PIE_genuine_6,043,043,2540,2540,2540,1866,0.7346,True,0.7346,True,True,1.8425
DeepDetect,face,Multi-PIE_genuine_6,043,043,12144,15509,850,711,0.8365,True,0.8365,True,True,1.1099
LoFTR_indoor,face,Multi-PIE_genuine_7,227,227,854,854,854,519,0.6077,True,0.6077,True,True,1.5729
ORB,face,Multi-PIE_genuine_7,227,227,27,119,2,0,,False,,True,False,
SIFT,face,Multi-PIE_genuine_7,227,227,18,48,3,0,,False,,True,False,
SuperGlue,face,Multi-PIE_genuine_7,227,227,153,269,89,35,0.3933,False,0.3933,True,False,2.6029
SGMNet_root_SGM,face,Multi-PIE_genuine_7,227,227,2727,2546,743,303,0.4078,True,0.4078,True,True,1.7573
