matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
orb-fingervein,iris,AMF-Iris_genuine_0,assem,assem,3003,2804,489,380,0.7771,True,0.7771,True,True,1.4533
sift-fingervein,iris,AMF-Iris_genuine_0,assem,assem,446,419,153,126,0.8235,True,0.8135,True,True,1.7457
superglue-fingervein,iris,AMF-Iris_genuine_0,assem,assem,353,304,219,121,0.5525,True,0.5295,True,True,2.3519
sgmnet-fingervein,iris,AMF-Iris_genuine_0,assem,assem,1404,1440,679,284,0.4183,True,0.4160,True,True,1.6071
orb-fingervein,iris,AMF-Iris_genuine_1,abeer,abeer,3918,3678,167,119,0.7126,True,0.6957,True,True,1.9802
sift-fingervein,iris,AMF-Iris_genuine_1,abeer,abeer,846,744,81,55,0.6790,True,0.6523,True,True,2.3031
superglue-fingervein,iris,AMF-Iris_genuine_1,abeer,abeer,331,309,240,100,0.4167,True,0.3985,True,True,2.3891
sgmnet-fingervein,iris,AMF-Iris_genuine_1,abeer,abeer,1244,1272,609,164,0.2693,True,0.2645,True,True,1.8607
orb-fingervein,iris,AMF-Iris_genuine_2,khalid,khalid,2633,2599,83,45,0.5422,True,0.5370,True,True,1.6927
sift-fingervein,iris,AMF-Iris_genuine_2,khalid,khalid,425,428,32,16,0.5000,True,0.4853,True,True,2.0467
superglue-fingervein,iris,AMF-Iris_genuine_2,khalid,khalid,297,311,204,88,0.4314,True,0.4081,True,True,2.6093
sgmnet-fingervein,iris,AMF-Iris_genuine_2,khalid,khalid,1334,1237,638,145,0.2273,True,0.2219,True,True,1.9770
orb-fingervein,iris,AMF-Iris_genuine_3,kamal,kamal,1961,1802,149,72,0.4832,True,0.4726,True,True,1.9450
sift-fingervein,iris,AMF-Iris_genuine_3,kamal,kamal,304,225,73,54,0.7397,True,0.7397,True,True,1.4805
superglue-fingervein,iris,AMF-Iris_genuine_3,kamal,kamal,333,332,216,108,0.5000,True,0.4740,True,True,2.5684
sgmnet-fingervein,iris,AMF-Iris_genuine_3,kamal,kamal,1236,1256,572,168,0.2937,True,0.2904,True,True,1.7281
orb-fingervein,iris,AMF-Iris_genuine_4,huda,huda,2729,2636,266,204,0.7669,True,0.7599,True,True,1.6842
sift-fingervein,iris,AMF-Iris_genuine_4,huda,huda,403,400,90,62,0.6889,True,0.6834,True,True,1.6599
superglue-fingervein,iris,AMF-Iris_genuine_4,huda,huda,297,307,195,108,0.5538,True,0.5271,True,True,2.4895
sgmnet-fingervein,iris,AMF-Iris_genuine_4,huda,huda,1522,1494,808,245,0.3032,True,0.2989,True,True,1.7836
orb-fingervein,iris,AMF-Iris_genuine_5,aziz,aziz,2721,2582,155,98,0.6323,True,0.6226,True,True,1.8086
sift-fingervein,iris,AMF-Iris_genuine_5,aziz,aziz,380,332,46,35,0.7609,True,0.7568,True,True,1.6076
superglue-fingervein,iris,AMF-Iris_genuine_5,aziz,aziz,308,317,199,104,0.5226,True,0.5088,True,True,2.0340
sgmnet-fingervein,iris,AMF-Iris_genuine_5,aziz,aziz,1207,1192,552,152,0.2754,True,0.2711,True,True,1.8092
orb-fingervein,iris,AMF-Iris_genuine_6,asmaa,asmaa,2600,3286,69,23,0.3333,False,0.3310,True,False,1.6336
sift-fingervein,iris,AMF-Iris_genuine_6,asmaa,asmaa,265,493,30,17,0.5667,True,0.5595,True,True,1.7182
superglue-fingervein,iris,AMF-Iris_genuine_6,asmaa,asmaa,348,315,170,53,0.3118,True,0.3004,True,True,2.2442
sgmnet-fingervein,iris,AMF-Iris_genuine_6,asmaa,asmaa,1009,1369,426,66,0.1549,False,0.1539,True,False,1.6357
orb-fingervein,iris,AMF-Iris_genuine_7,anas,anas,3407,3385,490,389,0.7939,True,0.7842,True,True,1.7464
sift-fingervein,iris,AMF-Iris_genuine_7,anas,anas,495,509,138,104,0.7536,True,0.7536,True,True,1.4691
superglue-fingervein,iris,AMF-Iris_genuine_7,anas,anas,374,368,270,184,0.6815,True,0.6610,True,True,2.1115
sgmnet-fingervein,iris,AMF-Iris_genuine_7,anas,anas,1301,1314,607,272,0.4481,True,0.4440,True,True,1.6825
orb-fingervein,iris,AMF-Iris_genuine_8,sirag,sirag,3347,3192,145,89,0.6138,True,0.6015,True,True,1.9056
sift-fingervein,iris,AMF-Iris_genuine_8,sirag,sirag,674,667,75,41,0.5467,True,0.5418,True,True,1.6794
superglue-fingervein,iris,AMF-Iris_genuine_8,sirag,sirag,391,361,248,104,0.4194,True,0.4040,True,True,2.2451
sgmnet-fingervein,iris,AMF-Iris_genuine_8,sirag,sirag,1590,1698,748,235,0.3142,True,0.3102,True,True,1.7552
orb-fingervein,iris,AMF-Iris_genuine_9,adnan,adnan,2972,2905,254,182,0.7165,True,0.6871,True,True,2.3379
sift-fingervein,iris,AMF-Iris_genuine_9,adnan,adnan,460,413,113,86,0.7611,True,0.7583,True,True,1.5717
superglue-fingervein,iris,AMF-Iris_genuine_9,adnan,adnan,339,330,247,122,0.4939,True,0.4711,True,True,2.4483
sgmnet-fingervein,iris,AMF-Iris_genuine_9,adnan,adnan,1285,1245,636,239,0.3758,True,0.3722,True,True,1.6923
orb-fingervein,iris,AMF-Iris_genuine_10,adnan,adnan,3233,3240,214,140,0.6542,True,0.6296,True,True,2.2681
sift-fingervein,iris,AMF-Iris_genuine_10,adnan,adnan,465,492,94,52,0.5532,True,0.5532,True,True,1.4274
superglue-fingervein,iris,AMF-Iris_genuine_10,adnan,adnan,377,379,273,123,0.4505,True,0.4185,True,True,2.9772
sgmnet-fingervein,iris,AMF-Iris_genuine_10,adnan,adnan,1313,1265,615,184,0.2992,True,0.2959,True,True,1.7226
orb-fingervein,iris,AMF-Iris_genuine_11,arwa,arwa,3919,3897,96,44,0.4583,True,0.4530,True,True,1.7358
sift-fingervein,iris,AMF-Iris_genuine_11,arwa,arwa,743,639,30,15,0.5000,True,0.4906,True,True,1.8071
superglue-fingervein,iris,AMF-Iris_genuine_11,arwa,arwa,357,342,203,82,0.4039,True,0.3794,True,True,2.7542
sgmnet-fingervein,iris,AMF-Iris_genuine_11,arwa,arwa,1199,1081,482,84,0.1743,False,0.1725,True,False,1.7084
orb-fingervein,iris,AMF-Iris_genuine_12,hamza,hamza,2930,3035,368,298,0.8098,True,0.8020,True,True,1.6938
sift-fingervein,iris,AMF-Iris_genuine_12,hamza,hamza,505,512,139,122,0.8777,True,0.8777,True,True,1.4956
superglue-fingervein,iris,AMF-Iris_genuine_12,hamza,hamza,372,364,287,166,0.5784,True,0.5589,True,True,2.1862
sgmnet-fingervein,iris,AMF-Iris_genuine_12,hamza,hamza,1466,1534,760,300,0.3947,True,0.3913,True,True,1.6762
orb-fingervein,iris,AMF-Iris_genuine_13,israa,israa,2845,2551,176,94,0.5341,True,0.5162,True,True,2.1811
sift-fingervein,iris,AMF-Iris_genuine_13,israa,israa,440,412,104,68,0.6538,True,0.6263,True,True,2.3604
superglue-fingervein,iris,AMF-Iris_genuine_13,israa,israa,334,313,216,82,0.3796,True,0.3619,True,True,2.4578
sgmnet-fingervein,iris,AMF-Iris_genuine_13,israa,israa,1279,1448,693,193,0.2785,True,0.2739,True,True,1.8360
orb-fingervein,iris,AMF-Iris_genuine_14,zahraa,zahraa,1730,1657,131,105,0.8015,True,0.8015,True,True,1.5016
sift-fingervein,iris,AMF-Iris_genuine_14,zahraa,zahraa,181,192,56,48,0.8571,True,0.8571,True,True,1.3369
superglue-fingervein,iris,AMF-Iris_genuine_14,zahraa,zahraa,261,250,179,119,0.6648,True,0.6363,True,True,2.3763
sgmnet-fingervein,iris,AMF-Iris_genuine_14,zahraa,zahraa,1505,1541,810,236,0.2914,True,0.2872,True,True,1.7865
orb-fingervein,iris,AMF-Iris_genuine_15,abeer,abeer,4186,4287,121,52,0.4298,False,0.4186,True,False,2.0258
