matcher,modality,pair_id,identity1,identity2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
LoFTR_indoor,iris,MMU-Iris_genuine_0,6,6,633,497,0.7852,True,0.7852,True,True,1.8488
LoFTR_indoor,iris,MMU-Iris_genuine_1,9,9,310,275,0.8871,True,0.8871,True,True,1.2652
LoFTR_indoor,iris,MMU-Iris_genuine_2,8,8,524,354,0.6756,True,0.6756,True,True,1.6135
LoFTR_indoor,iris,MMU-Iris_genuine_3,35,35,641,572,0.8924,True,0.8924,True,True,1.1244
LoFTR_indoor,iris,MMU-Iris_genuine_4,14,14,563,374,0.6643,True,0.6643,True,True,1.6258
LoFTR_indoor,iris,MMU-Iris_genuine_5,11,11,614,475,0.7736,True,0.7736,True,True,1.8064
LoFTR_indoor,iris,MMU-Iris_genuine_6,40,40,550,438,0.7964,True,0.7964,True,True,1.8004
LoFTR_indoor,iris,MMU-Iris_genuine_7,34,34,713,552,0.7742,True,0.7742,True,True,1.3352
LoFTR_indoor,iris,MMU-Iris_genuine_8,7,7,682,459,0.6730,True,0.6730,True,True,2.1480
LoFTR_indoor,iris,MMU-Iris_genuine_9,1,1,515,344,0.6680,True,0.6680,True,True,2.0039
LoFTR_indoor,iris,MMU-Iris_genuine_10,13,13,689,478,0.6938,True,0.6938,True,True,2.2106
LoFTR_indoor,iris,MMU-Iris_genuine_11,45,45,799,421,0.5269,True,0.5269,True,True,2.1657
LoFTR_indoor,iris,MMU-Iris_genuine_12,20,20,340,251,0.7382,True,0.7382,True,True,1.1782
LoFTR_indoor,iris,MMU-Iris_genuine_13,17,17,525,400,0.7619,True,0.7619,True,True,1.4671
LoFTR_indoor,iris,MMU-Iris_genuine_14,28,28,522,415,0.7950,True,0.7950,True,True,1.3887
LoFTR_indoor,iris,MMU-Iris_genuine_15,31,31,557,369,0.6625,True,0.6625,True,True,1.8319
LoFTR_indoor,iris,MMU-Iris_genuine_16,31,31,692,552,0.7977,True,0.7977,True,True,1.3153
LoFTR_indoor,iris,MMU-Iris_genuine_17,19,19,502,364,0.7251,True,0.7251,True,True,2.1368
LoFTR_indoor,iris,MMU-Iris_genuine_18,28,28,609,311,0.5107,True,0.5107,True,True,1.5393
LoFTR_indoor,iris,MMU-Iris_genuine_19,12,12,488,425,0.8709,True,0.8709,True,True,1.5742
