matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
loftr,face,Multi-PIE_genuine_0,056,056,0,0,0,0,,False,,True,False,
orb,face,Multi-PIE_genuine_0,056,056,419,41,32,0,,False,,True,False,
sift,face,Multi-PIE_genuine_0,056,056,161,39,3,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_0,056,056,489,337,0,0,,False,,True,False,
sgmnet,face,Multi-PIE_genuine_0,056,056,2336,2437,54,8,0.1481,False,0.1434,True,False,0.3259
aspanformer,face,Multi-PIE_genuine_0,056,056,26,26,26,11,0.4231,True,0.4112,True,True,1.8063
deepdetect,face,Multi-PIE_genuine_0,056,056,14608,14766,9,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_1,013,013,3,3,0,0,,False,,True,False,
orb,face,Multi-PIE_genuine_1,013,013,374,330,22,0,,False,,True,False,
sift,face,Multi-PIE_genuine_1,013,013,62,81,1,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_1,013,013,255,356,0,0,,False,,True,False,
sgmnet,face,Multi-PIE_genuine_1,013,013,2911,2157,27,7,0.2593,False,0.2484,True,False,0.6621
aspanformer,face,Multi-PIE_genuine_1,013,013,4,4,4,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_1,013,013,9265,14190,20,12,0.6000,True,0.6000,True,True,1.5303
loftr,face,Multi-PIE_genuine_2,137,137,63,63,63,11,0.1746,False,0.1714,True,False,1.6139
orb,face,Multi-PIE_genuine_2,137,137,202,141,10,0,,False,,True,False,
sift,face,Multi-PIE_genuine_2,137,137,29,49,0,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_2,137,137,231,329,41,11,0.2683,False,0.2555,True,False,2.2183
sgmnet,face,Multi-PIE_genuine_2,137,137,2868,2330,69,12,0.1739,False,0.1705,True,False,1.7005
aspanformer,face,Multi-PIE_genuine_2,137,137,268,268,268,168,0.6269,True,0.6069,True,True,2.1469
deepdetect,face,Multi-PIE_genuine_2,137,137,9374,16702,10,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_3,122,122,7,7,0,0,,False,,True,False,
orb,face,Multi-PIE_genuine_3,122,122,472,105,37,0,,False,,True,False,
sift,face,Multi-PIE_genuine_3,122,122,66,37,2,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_3,122,122,276,298,28,11,0.3929,False,0.3762,True,False,2.1045
sgmnet,face,Multi-PIE_genuine_3,122,122,3547,2664,15,5,0.3333,False,0.3107,True,False,0.3146
aspanformer,face,Multi-PIE_genuine_3,122,122,3,3,3,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_3,122,122,10756,15102,10,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_4,112,112,38,38,38,9,0.2368,False,0.2223,True,False,2.2839
orb,face,Multi-PIE_genuine_4,112,112,431,846,7,0,,False,,True,False,
sift,face,Multi-PIE_genuine_4,112,112,94,164,4,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_4,112,112,265,574,102,26,0.2549,False,0.2404,True,False,2.6679
sgmnet,face,Multi-PIE_genuine_4,112,112,2574,2087,150,22,0.1467,False,0.1466,True,False,1.3181
aspanformer,face,Multi-PIE_genuine_4,112,112,431,431,431,179,0.4153,True,0.4044,True,True,2.0346
deepdetect,face,Multi-PIE_genuine_4,112,112,5703,21180,14,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_5,070,070,633,633,633,237,0.3744,False,0.3515,True,False,2.7618
orb,face,Multi-PIE_genuine_5,070,070,155,142,9,0,,False,,True,False,
sift,face,Multi-PIE_genuine_5,070,070,40,42,2,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_5,070,070,271,252,110,36,0.3273,False,0.3099,True,False,2.5911
sgmnet,face,Multi-PIE_genuine_5,070,070,2457,2203,269,63,0.2342,False,0.2340,True,False,1.5167
aspanformer,face,Multi-PIE_genuine_5,070,070,675,675,675,346,0.5126,True,0.4829,True,True,2.6920
deepdetect,face,Multi-PIE_genuine_5,070,070,8162,8101,6,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_6,051,051,7,7,7,0,,False,,True,False,
orb,face,Multi-PIE_genuine_6,051,051,227,428,7,0,,False,,True,False,
sift,face,Multi-PIE_genuine_6,051,051,82,96,2,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_6,051,051,431,404,0,0,,False,,True,False,
sgmnet,face,Multi-PIE_genuine_6,051,051,2267,2121,16,6,0.3750,False,0.3548,True,False,0.7928
aspanformer,face,Multi-PIE_genuine_6,051,051,10,10,10,7,0.7000,True,0.6708,True,True,0.9920
deepdetect,face,Multi-PIE_genuine_6,051,051,26907,15099,45,26,0.5778,True,0.5778,True,True,1.4418
loftr,face,Multi-PIE_genuine_7,044,044,134,134,134,31,0.2313,False,0.2227,True,False,2.2613
orb,face,Multi-PIE_genuine_7,044,044,314,182,8,0,,False,,True,False,
sift,face,Multi-PIE_genuine_7,044,044,88,35,4,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_7,044,044,392,264,53,16,0.3019,False,0.2945,True,False,1.9447
sgmnet,face,Multi-PIE_genuine_7,044,044,2183,2313,70,0,,False,,True,False,
aspanformer,face,Multi-PIE_genuine_7,044,044,24,24,24,12,0.5000,True,0.4887,True,True,1.7664
deepdetect,face,Multi-PIE_genuine_7,044,044,18506,11144,103,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_8,210,210,0,0,0,0,,False,,True,False,
orb,face,Multi-PIE_genuine_8,210,210,387,172,30,0,,False,,True,False,
sift,face,Multi-PIE_genuine_8,210,210,64,51,3,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_8,210,210,409,246,0,0,,False,,True,False,
sgmnet,face,Multi-PIE_genuine_8,210,210,2775,1408,8,4,0.5000,True,0.4583,True,True,0.0000
aspanformer,face,Multi-PIE_genuine_8,210,210,20,20,20,12,0.6000,True,0.5943,True,True,1.2667
deepdetect,face,Multi-PIE_genuine_8,210,210,24427,6095,11,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_9,016,016,53,53,53,20,0.3774,False,0.3611,True,False,2.3668
orb,face,Multi-PIE_genuine_9,016,016,274,611,5,0,,False,,True,False,
sift,face,Multi-PIE_genuine_9,016,016,61,99,1,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_9,016,016,412,313,128,34,0.2656,False,0.2517,True,False,2.5741
sgmnet,face,Multi-PIE_genuine_9,016,016,2798,3603,229,16,0.0699,False,0.0697,True,False,1.1756
aspanformer,face,Multi-PIE_genuine_9,016,016,9,9,9,7,0.7778,True,0.7453,True,True,1.0284
deepdetect,face,Multi-PIE_genuine_9,016,016,23296,16077,20,12,0.6000,True,0.6000,True,True,1.1109
loftr,face,Multi-PIE_genuine_10,015,015,38,38,38,10,0.2632,False,0.2517,True,False,2.0332
orb,face,Multi-PIE_genuine_10,015,015,335,543,14,0,,False,,True,False,
sift,face,Multi-PIE_genuine_10,015,015,114,132,3,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_10,015,015,357,363,2,0,,False,,True,False,
sgmnet,face,Multi-PIE_genuine_10,015,015,2236,1871,82,9,0.1098,False,0.1071,True,False,1.1767
aspanformer,face,Multi-PIE_genuine_10,015,015,9,9,0,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_10,015,015,23086,17632,22,13,0.5909,True,0.5909,True,True,0.8344
loftr,face,Multi-PIE_genuine_11,047,047,306,306,306,68,0.2222,False,0.2184,True,False,1.8470
orb,face,Multi-PIE_genuine_11,047,047,317,335,13,0,,False,,True,False,
sift,face,Multi-PIE_genuine_11,047,047,80,72,4,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_11,047,047,396,343,129,23,0.1783,False,0.1697,True,False,2.4792
sgmnet,face,Multi-PIE_genuine_11,047,047,2608,2383,20,0,,False,,True,False,
aspanformer,face,Multi-PIE_genuine_11,047,047,215,215,215,95,0.4419,True,0.4349,True,True,1.8165
deepdetect,face,Multi-PIE_genuine_11,047,047,14322,11101,7,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_12,109,109,221,221,221,17,0.0769,False,0.0747,True,False,2.0594
orb,face,Multi-PIE_genuine_12,109,109,178,144,9,0,,False,,True,False,
sift,face,Multi-PIE_genuine_12,109,109,42,61,3,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_12,109,109,221,289,10,0,,False,,True,False,
sgmnet,face,Multi-PIE_genuine_12,109,109,2406,2403,121,16,0.1322,False,0.1319,True,False,1.3592
aspanformer,face,Multi-PIE_genuine_12,109,109,55,55,55,17,0.3091,False,0.2960,True,False,2.3273
deepdetect,face,Multi-PIE_genuine_12,109,109,10329,11852,12,9,0.7500,True,0.7500,True,True,2.9049
loftr,face,Multi-PIE_genuine_13,116,116,43,43,43,10,0.2326,False,0.2251,True,False,1.7995
orb,face,Multi-PIE_genuine_13,116,116,279,577,5,0,,False,,True,False,
sift,face,Multi-PIE_genuine_13,116,116,82,127,4,0,,False,,True,False,
superglue,face,Multi-PIE_genuine_13,116,116,325,392,0,0,,False,,True,False,
sgmnet,face,Multi-PIE_genuine_13,116,116,2294,2124,21,6,0.2857,False,0.2703,True,False,0.5843
aspanformer,face,Multi-PIE_genuine_13,116,116,9,9,9,6,0.6667,True,0.6308,True,True,1.0992
deepdetect,face,Multi-PIE_genuine_13,116,116,14746,16156,24,0,,False,,True,False,
